sample,fastq_1,strand,group,replicate
SAMPLE_SINGLE_END_1,./assets/data/Small_SRR19383412_1.fastq.gz,forward,starvation,1
SAMPLE_SINGLE_END_2,./assets/data/Small_SRR19383412_2.fastq.gz,reverse,control,1
